"'a.b'"	"'acb'"	"SUCCEED"	"'found'"	"'acb'"
"'a.b'"	"'a\nb'"	"FAIL"	""	""
"'a.*b'"	"'acc\nccb'"	"FAIL"	""	""
"'a.{4,5}b'"	"'acc\nccb'"	"FAIL"	""	""
"'a.b'"	"'a\rb'"	"SUCCEED"	"'found'"	"'a\rb'"
"'(?s)a.b'"	"'a\nb'"	"SUCCEED"	"'found'"	"'a\nb'"
"'(?s)a.*b'"	"'acc\nccb'"	"SUCCEED"	"'found'"	"'acc\nccb'"
"'(?s)a.{4,5}b'"	"'acc\nccb'"	"SUCCEED"	"'found'"	"'acc\nccb'"
"'(?s)a.b'"	"'a\rb'"	"SUCCEED"	"'found'"	"'a\rb'"
"')'"	"''"	"SYNTAX_ERROR"	""	""
"''"	"''"	"SUCCEED"	"'found'"	"''"
"'abc'"	"'abc'"	"SUCCEED"	"'found'"	"'abc'"
"'abc'"	"'xbc'"	"FAIL"	""	""
"'abc'"	"'axc'"	"FAIL"	""	""
"'abc'"	"'abx'"	"FAIL"	""	""
"'abc'"	"'xabcy'"	"SUCCEED"	"'found'"	"'abc'"
"'abc'"	"'ababc'"	"SUCCEED"	"'found'"	"'abc'"
"'ab*c'"	"'abc'"	"SUCCEED"	"'found'"	"'abc'"
"'ab*bc'"	"'abc'"	"SUCCEED"	"'found'"	"'abc'"
"'ab*bc'"	"'abbc'"	"SUCCEED"	"'found'"	"'abbc'"
"'ab*bc'"	"'abbbbc'"	"SUCCEED"	"'found'"	"'abbbbc'"
"'ab+bc'"	"'abbc'"	"SUCCEED"	"'found'"	"'abbc'"
"'ab+bc'"	"'abc'"	"FAIL"	""	""
"'ab+bc'"	"'abq'"	"FAIL"	""	""
"'ab+bc'"	"'abbbbc'"	"SUCCEED"	"'found'"	"'abbbbc'"
"'ab?bc'"	"'abbc'"	"SUCCEED"	"'found'"	"'abbc'"
"'ab?bc'"	"'abc'"	"SUCCEED"	"'found'"	"'abc'"
"'ab?bc'"	"'abbbbc'"	"FAIL"	""	""
"'ab?c'"	"'abc'"	"SUCCEED"	"'found'"	"'abc'"
"'^abc$'"	"'abc'"	"SUCCEED"	"'found'"	"'abc'"
"'^abc$'"	"'abcc'"	"FAIL"	""	""
"'^abc'"	"'abcc'"	"SUCCEED"	"'found'"	"'abc'"
"'^abc$'"	"'aabc'"	"FAIL"	""	""
"'abc$'"	"'aabc'"	"SUCCEED"	"'found'"	"'abc'"
"'^'"	"'abc'"	"SUCCEED"	"'found+""-""'"	"'-'"
"'$'"	"'abc'"	"SUCCEED"	"'found+""-""'"	"'-'"
"'a.c'"	"'abc'"	"SUCCEED"	"'found'"	"'abc'"
"'a.c'"	"'axc'"	"SUCCEED"	"'found'"	"'axc'"
"'a.*c'"	"'axyzc'"	"SUCCEED"	"'found'"	"'axyzc'"
"'a.*c'"	"'axyzd'"	"FAIL"	""	""
"'a[bc]d'"	"'abc'"	"FAIL"	""	""
"'a[bc]d'"	"'abd'"	"SUCCEED"	"'found'"	"'abd'"
"'a[b-d]e'"	"'abd'"	"FAIL"	""	""
"'a[b-d]e'"	"'ace'"	"SUCCEED"	"'found'"	"'ace'"
"'a[b-d]'"	"'aac'"	"SUCCEED"	"'found'"	"'ac'"
"'a[-b]'"	"'a-'"	"SUCCEED"	"'found'"	"'a-'"
"'a[\\-b]'"	"'a-'"	"SUCCEED"	"'found'"	"'a-'"
