"""(?!0{5})(\d{5})""";"";"""<0><1>00001</1></0>zzzz""";""
"""(?!0{5})(\d{5})z""";"";"""<0><1>00001</1>z</0>zzz""";""
"""(?!0{5})(\d{5})(?!y)""";"";"""<0><1>00001</1></0>zzzz""";""
"""abc(?=def)""";"";"""<0>abc</0>def""";""
"""(.*)(?=c)""";"";"""<0><1>ab</1></0>cdef""";""
"""(?:.*)(?=c)""";"";"""<r>ab</r>cdef""";""
"""(?:.*)(?=c)""";"b";"""<r><0>ab</0></r>cdef""";"transparent bounds"
"""(?:.*)(?=c)""";"bM";"""<r><0>ab</0></r>cdef""";"transparent bounds"
"""(?:.*)(?=(c))""";"b";"""<0>ab</0><1>c</1>def""";"Capture in look-ahead"
"""(?=(.)\1\1)\1""";"";"""abcc<0><1>d</1></0>ddefg""";"Backrefs to look-ahead capture"
""".(?!\p{L})""";"";"""abc<0>d</0> """;"Negated look-ahead"
""".(?!(\p{L}))""";"";"""abc<0>d</0> """;"Negated look-ahead, no capture"
"""and(?=roid)""";"L";"""<0>and</0>roid""";""
"""and(?=roid)""";"M";"""<r>and</r>roid""";""
"""and(?=roid)""";"bM";"""<r><0>and</0></r>roid""";""
"""and(?!roid)""";"L";"""<0>and</0>roix""";""
"""and(?!roid)""";"L";"""android""";""
"""and(?!roid)""";"M";"""<r><0>and</0></r>roid""";"Opaque bounds"
"""and(?!roid)""";"bM";"""<r>and</r>roid""";""
"""and(?!roid)""";"bM";"""<r><0>and</0></r>roix""";""
"""abc(?!def)""";"";"""<0>abc</0>xyz""";""
"""abc(?!def)""";"";"""abcdef""";""
"""abc(?!def)""";"";"""<r><0>abc</0></r>def""";""
"""abc(?!def)""";"b";"""<r>abc</r>def""";""
"""abc(?!def)""";"b";"""<r><0>abc</0></r>xyz""";""
"""one(?=(?:(?!<out>).)*</out>)""";"";"""<out><0>one</0> stuff</out>""";""
"""one(?=(?:(?!<out>).)*</out>)""";"";"""<out>one  <out></out>""";""
"""(?<!a(?!...z))qq""";"";"""<0>qq</0>c""";""
"""(?<!a(?!...z))qq""";"";"""f<0>qq</0>c""";""
"""(?<!a(?!...z))qq""";"";"""aqqz""";""
"""(?=(?<=(\p{Lu})(?=..(\p{Lu}))))..""";"";"""<1>A</1><0>jk</0><2>B</2>""";""
"""(?=(?<=(\p{Lu})(?=..(\p{Lu}))))..""";"";"""ajkB""";""
"""(?=(?<=(\p{Lu})(?=..(\p{Lu}))))..""";"";"""Ajkb""";""
"""(?<=(?<=((?=)){0}+))""";"";"""<0></0>abc""";""
"""(?<=c(?<=c((?=c)){1}+))""";"";"""c<0><1></1></0>cc""";""
"""^def$""";"";"""abc<r><0>def</0></r>ghi""";"anchoring (default) bounds"
"""^def$""";"a";"""abc<r>def</r>ghi""";"non-anchoring bounds"
"""^def""";"a";"""<r><0>def</0></r>ghi""";"non-anchoring bounds"
"""def$""";"a";"""abc<r><0>def</0></r>""";"non-anchoring bounds"
"""^.*$""";"m";"""<0>line 1</0>\n line 2""";""
"""^.*$""";"m2";"""line 1\n<0> line 2</0>""";""
"""^.*$""";"m3";"""line 1\n line 2""";""
"""^.*$""";"m";"""li<r><0>ne </0></r>1\n line 2""";"anchoring bounds"
"""^.*$""";"m2";"""li<r>ne </r>1\n line 2""";"anchoring bounds"
"""^.*$""";"am";"""li<r>ne </r>1\n line 2""";"non-anchoring bounds"
"""^.*$""";"am";"""li\n<r><0>ne </0></r>\n1\n line 2""";"non-anchoring bounds"
