"@""(?(w)a|o)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(w)|o)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(w)a)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(w)a|)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(w)?|a|o)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(w)||o)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(w)(a)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(w))\a|)"""	"@""\(\?\(\w+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(2)a|o)"""	"@""\(\?\([^\)]+\).*\|?.*\)"""	"""r"""	"""r"""
"@""(?(|)a|o)"""	"@""\(\?\([^\)]+\).*\|?.*\)"""	"""r"""	"""r"""
"@""a\3b"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\(\d+)"""	"@""\5"""	"@""a\5b"""
"@""\3b"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\(\d+)"""	"@""\5"""	"@""\5b"""
"@""\\3b"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\(\d+)"""	"@""\5"""	"@""\\3b"""
"@""\\\3b"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\(\d+)"""	"@""\5"""	"@""\\\5b"""
"@""a\\\\3b"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\(\d+)"""	"@""\5"""	"@""a\\\\3b"""
"@""\\\k<g>"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k<(\w+)>"""	"@""\5"""	"@""\\\5"""
"@""a\\\k<g>"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k<(\w+)>"""	"@""\5"""	"@""a\\\5"""
