"""a"""	"""a"""
"""ab"""	"""ab"""
"""a|b"""	"""[a-b]"""
"""ab|cd"""	"""ab|cd"""
"""(ab)*"""	"""(ab)*"""
"""(ab)+"""	"""(ab)+"""
"""(ab)?"""	"""(ab)?"""
"""."""	"""."""
"""^"""	"""^"""
"""$"""	"""$"""
"""[ac]"""	"""[ac]"""
"""[^ac]"""	"""[^ac]"""
"""[[:alnum:]]"""	"""[0-9A-Za-z]"""
"""[[:alpha:]]"""	"""[A-Za-z]"""
"""[[:blank:]]"""	"""[\\t ]"""
"""[[:cntrl:]]"""	"""[\\x00-\\x1f\\x7f]"""
"""[[:digit:]]"""	"""[0-9]"""
"""[[:graph:]]"""	"""[!-~]"""
"""[[:lower:]]"""	"""[a-z]"""
"""[[:print:]]"""	"""[ -~]"""
"""[[:punct:]]"""	"""[!-/:-@\\[-`{-~]"""
"""[[:space:]]"""	"""[\\t-\\r ]"""
"""[[:upper:]]"""	"""[A-Z]"""
"""[[:xdigit:]]"""	"""[0-9A-Fa-f]"""
"""\\d"""	"""[0-9]"""
"""\\s"""	"""[\\t-\\n\\f-\\r ]"""
"""\\w"""	"""[0-9A-Z_a-z]"""
"""\\D"""	"""[^0-9]"""
"""\\S"""	"""[^\\t-\\n\\f-\\r ]"""
"""\\W"""	"""[^0-9A-Z_a-z]"""
"""[\\d]"""	"""[0-9]"""
"""[\\s]"""	"""[\\t-\\n\\f-\\r ]"""
"""[\\w]"""	"""[0-9A-Z_a-z]"""
"""[\\D]"""	"""[^0-9]"""
"""[\\S]"""	"""[^\\t-\\n\\f-\\r ]"""
"""[\\W]"""	"""[^0-9A-Z_a-z]"""
"""a{1}"""	"""a"""
"""a{2}"""	"""aa"""
"""a{5}"""	"""aaaaa"""
"""a{0,1}"""	"""a?"""
"""(a){0,2}"""	"""(?:(a)(a)?)?"""
"""(a){0,4}"""	"""(?:(a)(?:(a)(?:(a)(a)?)?)?)?"""
"""(a){2,6}"""	"""(a)(a)(?:(a)(?:(a)(?:(a)(a)?)?)?)?"""
"""a{0,2}"""	"""(?:aa?)?"""
"""a{0,4}"""	"""(?:a(?:a(?:aa?)?)?)?"""
"""a{2,6}"""	"""aa(?:a(?:a(?:aa?)?)?)?"""
"""a{0,}"""	"""a*"""
"""a{1,}"""	"""a+"""
"""a{2,}"""	"""aa+"""
"""a{5,}"""	"""aaaaa+"""
"""(?:a{1,}){1,}"""	"""a+"""
"""(a{1,}b{1,})"""	"""(a+b+)"""
"""a{1,}|b{1,}"""	"""a+|b+"""
"""(?:a{1,})*"""	"""(?:a+)*"""
"""(?:a{1,})+"""	"""a+"""
"""(?:a{1,})?"""	"""(?:a+)?"""
"""a{0}"""	""""""
"""[ab]"""	"""[a-b]"""
"""[a-za-za-z]"""	"""[a-z]"""
"""[A-Za-zA-Za-z]"""	"""[A-Za-z]"""
"""[ABCDEFGH]"""	"""[A-H]"""
"""[AB-CD-EF-GH]"""	"""[A-H]"""
"""[W-ZP-XE-R]"""	"""[E-Z]"""
"""[a-ee-gg-m]"""	"""[a-m]"""
"""[a-ea-ha-m]"""	"""[a-m]"""
"""[a-ma-ha-e]"""	"""[a-m]"""
"""[a-zA-Z0-9 -~]"""	"""[ -~]"""
"""[^[:cntrl:][:^cntrl:]]"""	"""[^\\x00-\\x{10ffff}]"""
"""[[:cntrl:][:^cntrl:]]"""	"""."""
"""(?i)A"""	"""[Aa]"""
"""(?i)a"""	"""[Aa]"""
"""(?i)K"""	"""[Kk\\x{212a}]"""
"""(?i)k"""	"""[Kk\\x{212a}]"""
"""(?i)\\x{212a}"""	"""[Kk\\x{212a}]"""
"""(?i)[a-z]"""	"""[A-Za-z\\x{17f}\\x{212a}]"""
"""(?i)[\\x00-\\x{FFFD}]"""	"""[\\x00-\\x{fffd}]"""
"""(?i)[\\x00-\\x{10ffff}]"""	"""."""
"""(a|b|)"""	"""([a-b]|(?:))"""
"""(|)"""	"""((?:)|(?:))"""
"""a()"""	"""a()"""
"""(()|())"""	"""(()|())"""
"""(a|)"""	"""(a|(?:))"""
"""ab()cd()"""	"""ab()cd()"""
"""()"""	"""()"""
"""()*"""	"""()*"""
"""()+"""	"""()+"""
"""()?"""	"""()?"""
"""(){0}"""	""""""
"""(){1}"""	"""()"""
"""(){1,}"""	"""()+"""
"""(){0,2}"""	"""(?:()()?)?"""
"""a*a*"""	"""a*"""
"""a*a+"""	"""a+"""
"""a*a?"""	"""a*"""
"""a*a{2}"""	"""aa+"""
"""a*a{2,}"""	"""aa+"""
"""a*a{2,3}"""	"""aa+"""
"""a+a*"""	"""a+"""
"""a+a+"""	"""aa+"""
"""a+a?"""	"""a+"""
"""a+a{2}"""	"""aaa+"""
"""a+a{2,}"""	"""aaa+"""
"""a+a{2,3}"""	"""aaa+"""
"""a?a*"""	"""a*"""
"""a?a+"""	"""a+"""
"""a?a?"""	"""(?:aa?)?"""
"""a?a{2}"""	"""aaa?"""
"""a?a{2,}"""	"""aa+"""
"""a?a{2,3}"""	"""aa(?:aa?)?"""
"""a{2}a*"""	"""aa+"""
"""a{2}a+"""	"""aaa+"""
"""a{2}a?"""	"""aaa?"""
"""a{2}a{2}"""	"""aaaa"""
"""a{2}a{2,}"""	"""aaaa+"""
"""a{2}a{2,3}"""	"""aaaaa?"""
"""a{2,}a*"""	"""aa+"""
"""a{2,}a+"""	"""aaa+"""
"""a{2,}a?"""	"""aa+"""
"""a{2,}a{2}"""	"""aaaa+"""
"""a{2,}a{2,}"""	"""aaaa+"""
"""a{2,}a{2,3}"""	"""aaaa+"""
"""a{2,3}a*"""	"""aa+"""
"""a{2,3}a+"""	"""aaa+"""
"""a{2,3}a?"""	"""aa(?:aa?)?"""
"""a{2,3}a{2}"""	"""aaaaa?"""
"""a{2,3}a{2,}"""	"""aaaa+"""
"""a{2,3}a{2,3}"""	"""aaaa(?:aa?)?"""
"""\\d*\\d*"""	"""[0-9]*"""
""".*.*"""	""".*"""
"""\\C*\\C*"""	"""\\C*"""
"""(?i)A*a*"""	"""[Aa]*"""
"""(?i)a+A+"""	"""[Aa][Aa]+"""
"""(?i)A*(?-i)a*"""	"""[Aa]*a*"""
"""(?i)a+(?-i)A+"""	"""[Aa]+A+"""
"""a*?a*?"""	"""a*?"""
"""a+?a+?"""	"""aa+?"""
"""a*?a*"""	"""a*?a*"""
"""a+a+?"""	"""a+a+?"""
"""a*a"""	"""a+"""
"""\\d*\\d"""	"""[0-9]+"""
""".*."""	""".+"""
"""\\C*\\C"""	"""\\C+"""
"""(?i)A*a"""	"""[Aa]+"""
"""(?i)a+A"""	"""[Aa][Aa]+"""
"""(?i)A*(?-i)a"""	"""[Aa]*a"""
"""(?i)a+(?-i)A"""	"""[Aa]+A"""
"""a*aa"""	"""aa+"""
"""a*aab"""	"""aa+b"""
"""(?i)a*aa"""	"""[Aa][Aa]+"""
"""(?i)a*aab"""	"""[Aa][Aa]+[Bb]"""
"""(?i)a*(?-i)aa"""	"""[Aa]*aa"""
"""(?i)a*(?-i)aab"""	"""[Aa]*aab"""
"""a*b*"""	"""a*b*"""
"""\\d*\\D*"""	"""[0-9]*[^0-9]*"""
"""a+b"""	"""a+b"""
"""\\d+\\D"""	"""[0-9]+[^0-9]"""
"""a?bb"""	"""a?bb"""
"""(a*)a*"""	"""(a*)a*"""
"""a+(a)"""	"""a+(a)"""
"""(a?)(aa)"""	"""(a?)(aa)"""
"""aa*aa+aa?aa{2}aaa{2,}aaa{2,3}a"""	"""aaaaaaaaaaaaaaaa+"""
"""(?:a*aab){2}"""	"""aa+baa+b"""
"""(a*aab)"""	"""(aa+b)"""
"""(?:(?:a){0,}){0,}"""	"""a*"""
"""(?:(?:a){1,}){1,}"""	"""a+"""
"""(?:(?:a){0,1}){0,1}"""	"""a?"""
"""(?:(?:a){0,}){1,}"""	"""a*"""
"""(?:(?:a){0,}){0,1}"""	"""a*"""
