"""a\\b""";"""a""";"""y""";"""$&""";"""a"""
"""(a)b\\1""";"""abaab""";"""y""";"""$&""";"""aba"""
"""()b\\1""";"""aaab""";"""y""";"""$&""";"""b"""
"""abc""";"""abc""";"""y""";"""$&""";"""abc"""
"""abc""";"""xbc""";"""n""";"""-""";"""-"""
"""abc""";"""axc""";"""n""";"""-""";"""-"""
"""abc""";"""abx""";"""n""";"""-""";"""-"""
"""abc""";"""xabcy""";"""y""";"""$&""";"""abc"""
"""abc""";"""ababc""";"""y""";"""$&""";"""abc"""
"""ab*c""";"""abc""";"""y""";"""$&""";"""abc"""
"""ab*bc""";"""abc""";"""y""";"""$&""";"""abc"""
"""ab*bc""";"""abbc""";"""y""";"""$&""";"""abbc"""
"""ab*bc""";"""abbbbc""";"""y""";"""$&""";"""abbbbc"""
"""ab+bc""";"""abbc""";"""y""";"""$&""";"""abbc"""
"""ab+bc""";"""abc""";"""n""";"""-""";"""-"""
"""ab+bc""";"""abq""";"""n""";"""-""";"""-"""
"""ab+bc""";"""abbbbc""";"""y""";"""$&""";"""abbbbc"""
"""ab?bc""";"""abbc""";"""y""";"""$&""";"""abbc"""
"""ab?bc""";"""abc""";"""y""";"""$&""";"""abc"""
"""ab?bc""";"""abbbbc""";"""n""";"""-""";"""-"""
"""ab?c""";"""abc""";"""y""";"""$&""";"""abc"""
"""^abc$""";"""abc""";"""y""";"""$&""";"""abc"""
"""^abc$""";"""abcc""";"""n""";"""-""";"""-"""
"""^abc""";"""abcc""";"""y""";"""$&""";"""abc"""
"""^abc$""";"""aabc""";"""n""";"""-""";"""-"""
"""abc$""";"""aabc""";"""y""";"""$&""";"""abc"""
"""^""";"""abc""";"""y""";"""$&""";""""""
"""$""";"""abc""";"""y""";"""$&""";""""""
"""a.c""";"""abc""";"""y""";"""$&""";"""abc"""
"""a.c""";"""axc""";"""y""";"""$&""";"""axc"""
"""a.*c""";"""axyzc""";"""y""";"""$&""";"""axyzc"""
"""a.*c""";"""axyzd""";"""n""";"""-""";"""-"""
"""a[bc]d""";"""abc""";"""n""";"""-""";"""-"""
"""a[bc]d""";"""abd""";"""y""";"""$&""";"""abd"""
"""a[b-d]e""";"""abd""";"""n""";"""-""";"""-"""
"""a[b-d]e""";"""ace""";"""y""";"""$&""";"""ace"""
"""a[b-d]""";"""aac""";"""y""";"""$&""";"""ac"""
"""a[-b]""";"""a-""";"""y""";"""$&""";"""a-"""
"""a[b-]""";"""a-""";"""y""";"""$&""";"""a-"""
"""a[b-a]""";"""-""";"""c""";"""-""";"""-"""
"""a[]b""";"""-""";"""c""";"""-""";"""-"""
"""a[""";"""-""";"""c""";"""-""";"""-"""
"""a]""";"""a]""";"""y""";"""$&""";"""a]"""
"""a[\\]]b""";"""a]b""";"""y""";"""$&""";"""a]b"""
"""a[^bc]d""";"""aed""";"""y""";"""$&""";"""aed"""
"""a[^bc]d""";"""abd""";"""n""";"""-""";"""-"""
"""a[^-b]c""";"""adc""";"""y""";"""$&""";"""adc"""
"""a[^-b]c""";"""a-c""";"""n""";"""-""";"""-"""
"""a[^\\]b]c""";"""adc""";"""y""";"""$&""";"""adc"""
